reviewerId,projectName,filePath
1010082,platform/external/chromium_org,base/debug/stack_trace_android.cc
1019910,platform/tools/idea,plugins/gradle/tooling-extension-impl/src/org/jetbrains/plugins/gradle/tooling/internal/ConfigurationDelegate.java
1006433,platform/frameworks/base,core/res/res/layout/notification_template_big_base.xml
1006444,platform/tools/adt/idea,android/lib/google-api-services-samples-v1.jar
1006444,platform/tools/adt/idea,android/src/com/android/tools/idea/avdmanager/AvdManagerConnection.java
1044651,platform/tools/base,build-system/gradle/src/main/groovy/com/android/build/gradle/model/AndroidComponentModelPlugin.groovy
1021004,platform/external/chromium,base/string_number_conversions.cc
1046320,platform/sdk,emulator/opengl/host/libs/Translator/include/GLcommon/GLESvalidate.h
1028773,platform/tools/adt/idea,android/src/org/jetbrains/android/run/AndroidRunningState.java
1043738,platform/bionic,libc/include/netdb.h
1037066,platform/external/libpng,arm/arm_init.c
1004910,platform/frameworks/av,drm/libdrmframework/plugins/forward-lock/tests/TestApplication/res/drawable/image.png
1014814,platform/tools/base,ddmlib/src/test/java/com/android/ddmlib/testrunner/XmlTestRunListenerTest.java
1015378,platform/art,test/Android.run-test.mk
1001414,platform/tools/base,build-system/tests/dependencies/build.gradle
1006433,platform/frameworks/av,media/libstagefright/codecs/avc/enc/SoftAVCEncoder.cpp
1023201,platform/frameworks/base,core/tests/hosttests/test-apps/MultiDexLegacyTestApp/src/com/android/multidexlegacytestapp/manymethods/Big054.java
1006257,platform/frameworks/av,drm/libdrmframework/plugins/forward-lock/FwdLockEngine/src/FwdLockEngine.cpp
1006668,platform/frameworks/av,drm/libdrmframework/plugins/forward-lock/tests/AutomaticTests/tests/src/android/drm/test/flapp/runners/FLUnitRunner.java
1039576,platform/art,test/000-HelloWorld/info.txt
1010056,platform/system/core,libion/tests/Android.mk
1019910,platform/tools/idea,plugins/gradle/lib/gradle-core-2.0.jar
1015613,toolchain/jack,jack/src/com/android/jack/experimental/incremental/Main.java
1001414,platform/tools/base,build-system/tests/build.gradle
1001414,platform/tools/base,sdk-common/src/main/java/com/android/ide/common/deployment/SplitUtils.java
1001414,platform/tools/base,ddmlib/src/test/java/com/android/ddmlib/testrunner/InstrumentationResultParserTest.java
1010121,platform/build,core/clear_vars.mk
1003618,platform/packages/apps/Mms,src/com/android/mms/transaction/HttpUtils.java
1002951,platform/frameworks/base,core/jni/android_util_AssetManager.cpp
1003966,platform/external/sepolicy,system_app.te
1004689,platform/tools/adt/idea,android/testData/projects/simplemail/app/build/intermediates/res/debug/layout/conversation_fragment.xml
1010055,platform/tools/adt/idea,android/testData/guiTests/SimpleApplication/app/src/main/res/values-en/strings.xml
1052399,platform/hardware/qcom/camera,QCamera2/HAL3/QCamera3Channel.cpp
1044320,platform/external/aac,libFDK/include/arm64/clz_arm64.h
1018108,platform/art,compiler/dex/ssa_transformation.cc
1001414,platform/tools/adt/idea,android/testData/projects/simplemail/app/src/main/res/values/strings_account.xml
1045657,platform/tools/studio/google/cloud/tools,src/com/google/gct/idea/appengine/validation/GetRestSignatureFailureException.java
1039576,platform/art,host_mode/host_art64.sh
1002951,platform/frameworks/base,cmds/bootanimation/BootAnimation.h
1018875,platform/cts,apps/CtsVerifier/src/com/android/cts/verifier/ManifestTestListAdapter.java
1019010,platform/external/sepolicy,vold.te
